Provinsi,Aceh,Sumatera Utara,Sumatera Barat,Riau,Kepulauan Riau,Jambi,Bengkulu,Sumatera Selatan,Kepulauan Bangka Belitung,Lampung,Banten,Jawa Barat,DKI Jakarta,Jawa Tengah,DI Yogyakarta,Jawa Timur,Bali,Nusa Tenggara Barat,Nusa Tenggara Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Gorontalo,Sulawesi Selatan,Sulawesi Tenggara,Sulawesi Tengah,Sulawesi Utara,Sulawesi Barat,Maluku,Maluku Utara,Papua,Papua Barat
10/ 05/ 2022,20900,21700,21900,22150,21350,22500,21550,23050,23900,21200,22300,23850,24150,22550,21100,22550,21500,24550,26600,22950,23300,24950,24800,24250,31750,22850,35750,28000,21850,25150,28250,28800,27950,32400
17/ 05/ 2022,20800,21700,21500,22100,21350,22450,23600,21850,23650,21100,22200,23100,24100,22200,20600,21900,21300,24400,28150,22800,23250,24800,26000,24250,31400,22850,35050,26750,21650,24650,28500,28950,29800,32150
24/ 05/ 2022,20550,21750,21150,21550,20900,22450,23550,21450,23050,20750,22150,22550,23600,21650,20000,21650,20900,24100,28700,22750,23250,23350,26100,24150,30200,22900,34450,26550,21050,24300,28450,28400,29700,32400
31/ 05/ 2022,20650,21750,21050,21500,20450,22450,23800,21300,21700,20750,22100,22000,23450,21200,20250,21500,20950,24000,28550,22700,23250,23350,25150,24000,29700,22650,33700,25200,20700,23450,28400,28500,29100,32150
07/ 06/ 2022,20450,21850,21200,21500,20800,22400,23800,21100,21400,20550,21500,21800,23250,21800,20250,21550,21100,23700,28700,22250,23200,23350,25300,24950,29700,22400,33300,24450,20900,23350,28400,28500,29000,31900
14/ 06/ 2022,21300,22000,21000,21550,20900,22200,22600,20900,21850,21000,21450,21550,23050,21650,20250,21350,20850,23400,29200,22150,23100,23100,25150,24800,30250,21900,29150,24100,21150,23100,28250,28350,30100,31900
21/ 06/ 2022,19250,21800,20550,21600,20900,22200,22150,21100,21650,21800,21300,21400,20400,21250,20250,21200,20750,23250,30000,22150,22750,23100,25150,25350,30700,21850,28550,23500,20850,22600,28100,27500,30150,31400
28/ 06/ 2022,19850,21600,20350,21600,20750,21450,22150,20650,21500,21450,21100,21200,22100,21150,20100,21050,20600,22950,27600,22050,22600,23100,23700,25500,29850,21900,28500,23350,20550,22600,28050,27500,29550,30750
05/ 07/ 2022,19600,21350,20200,21450,20750,20850,22000,19850,20900,20800,20400,20850,21750,20700,19850,20700,20550,22700,26800,21700,22350,23100,23750,25350,29100,21750,28100,22900,20150,22400,27400,26950,28800,30650
12/ 07/ 2022,18700,20800,19700,21000,20750,20650,21750,19300,20750,20800,20400,20500,21700,19600,19450,19800,20450,22400,26800,21400,22250,23100,23250,24800,28350,21650,27600,22250,19450,22250,27200,26400,28300,29750
19/ 07/ 2022,18800,20350,19200,20150,16950,20450,21750,17750,18950,19950,19750,19850,21450,18800,18500,19000,19950,22150,26700,20550,22250,22150,22900,23950,27700,21400,26450,21900,18650,21000,26900,26200,29050,30150
26/ 07/ 2022,17800,20200,17850,20050,16350,17600,18650,17650,18950,19450,19300,19700,21450,18600,18500,18700,19950,21850,26700,20200,21600,21650,22600,24200,25750,20950,25250,20900,18650,20750,26300,26200,29100,30150
02/ 08/ 2022,19200,20100,17650,20050,16350,17600,17850,17400,19050,19200,19050,19200,20550,18300,18000,18550,19350,20900,25250,20050,20250,21200,22200,22200,25400,20250,24250,20500,18650,20100,24900,25500,28950,30000
09/ 08/ 2022,18750,19800,17400,20050,16350,17700,17550,17400,19050,18950,18300,18750,19200,18150,17950,18200,19450,20450,24600,19700,20200,21200,21500,21550,25400,19950,23450,20500,18600,19900,24600,25500,27650,29650
16/ 08/ 2022,19100,19800,17250,19200,16000,17700,17350,17350,18050,18800,18200,18300,19400,18050,17850,18050,19350,20200,24600,19650,19800,21500,20650,21550,25400,19800,22850,20500,18600,20100,24500,25500,26600,29650
23/ 08/ 2022,19100,19800,17250,19250,15900,17750,17500,17250,16250,18750,18200,18200,19800,17900,17800,18000,18700,20000,24600,19550,19750,21500,20650,21500,25600,19900,22800,20500,18250,19350,23700,28100,26500,29150
30/ 08/ 2022,19200,19800,17150,19200,15900,17750,17350,17200,16200,18600,18200,17900,19750,17900,17350,17750,18700,19950,24050,19500,19650,21350,20350,21200,25100,19900,22650,20350,18250,19250,22700,28100,25050,28250
06/ 09/ 2022,19500,19700,17850,17900,15600,17100,16950,17250,16150,18300,18200,17800,19300,17750,17350,17500,18000,19750,24000,19350,19700,21250,20600,21150,24700,19650,23200,20350,18250,19150,22350,28100,23800,28250
13/ 09/ 2022,19500,19350,17700,17100,15750,17100,16950,17350,16450,18300,18200,17750,19900,17650,17350,17500,17750,19450,24000,19150,19450,21250,19950,20900,24700,19350,23350,20100,18250,20300,22450,26350,23650,27650
20/ 09/ 2022,19400,19100,17750,17000,15450,17100,17100,17300,16450,18250,18150,17800,19300,17600,16950,17500,18850,19350,24000,18950,19300,21250,19800,19900,22900,19100,22700,20100,18200,19150,22400,26350,23950,27900
27/ 09/ 2022,18850,18900,17700,16850,15450,17100,17100,17300,16500,17900,18150,17800,19600,17550,16950,17400,18850,19350,23550,18950,19300,21250,19550,19900,22600,19000,21900,19950,18200,19100,22350,26350,23450,27900
04/ 10/ 2022,18750,18600,17600,16850,15400,17100,17500,17050,16350,17950,17800,17700,19500,17500,16950,17300,18850,19250,23300,18950,19300,21150,19400,19650,22400,18800,21800,19950,18200,19000,22050,26350,23150,27900
11/ 10/ 2022,18700,18650,17550,16850,15050,17100,17450,17050,15800,17850,17800,17800,19050,17500,16950,17250,19000,19000,23050,18900,19300,21150,18950,19650,22100,18500,21800,19950,18200,18850,21850,26650,22900,26650
18/ 10/ 2022,18500,18800,17550,16850,15050,17100,17500,17050,15800,17650,17550,18050,19050,17750,17000,17400,18950,19000,22900,18900,19300,21100,18850,19450,22400,18250,21700,19450,17550,18900,21700,23700,22800,26400
25/ 10/ 2022,18650,18900,17650,16950,14950,17200,17350,17050,15650,17600,17650,17900,19100,17950,17400,17600,18900,19050,22800,18750,19350,21050,18900,19450,22350,18000,21450,19200,17700,18900,22000,23700,21200,26400
01/ 11/ 2022,18650,18850,17700,16950,14800,17200,17350,17050,15650,17650,17650,17850,19100,17800,17400,17750,18950,18850,22600,18750,19350,21050,18550,19450,22500,17800,21450,19200,17900,18900,22000,23700,21300,26400
08/ 11/ 2022,18700,18800,17700,16950,15100,17300,17650,17550,15650,17850,17650,18000,19100,17750,17400,17800,19000,18700,22600,18750,19300,21050,18500,19600,22500,17850,21500,19250,17900,18900,22100,23700,21400,26950
15/ 11/ 2022,18700,19000,17750,16900,15150,17300,17650,17950,15800,17950,17750,18050,19000,17900,17500,17850,18950,18800,22450,18900,19350,21050,18500,19600,22500,17900,21500,19250,17900,18900,22100,23700,21350,26450
22/ 11/ 2022,18650,19050,17750,16900,15150,17350,17550,18000,16150,18000,17850,18300,19050,18000,17500,17900,18900,18850,22450,18700,19400,21050,18600,19500,22450,17900,21450,19250,17900,18900,21900,23000,21250,26450
